index	total	algorithm	folder	returncode	elapsed_s
1	135	zlib	image_sources/generated/1024x576	0	216.063
2	135	heatshrink	image_sources/generated/1024x576	0	262.294
3	135	g5	image_sources/generated/1024x576	0	1.093
4	135	zlib	image_sources/generated/122x250	0	3.478
5	135	heatshrink	image_sources/generated/122x250	0	3.741
6	135	g5	image_sources/generated/122x250	0	0.761
7	135	zlib	image_sources/generated/128x296	0	4.452
8	135	heatshrink	image_sources/generated/128x296	0	4.564
9	135	g5	image_sources/generated/128x296	0	0.774
10	135	zlib	image_sources/generated/1360x480	0	144.341
11	135	heatshrink	image_sources/generated/1360x480	0	174.225
12	135	g5	image_sources/generated/1360x480	0	1.236
13	135	zlib	image_sources/generated/152x296	0	5.589
14	135	heatshrink	image_sources/generated/152x296	0	6.136
15	135	g5	image_sources/generated/152x296	0	0.870
16	135	zlib	image_sources/generated/1600x1200	0	559.645
17	135	heatshrink	image_sources/generated/1600x1200	0	650.073
18	135	g5	image_sources/generated/1600x1200	0	0.160
19	135	zlib	image_sources/generated/1872x1404	0	766.378
20	135	heatshrink	image_sources/generated/1872x1404	0	894.526
21	135	g5	image_sources/generated/1872x1404	0	0.164
22	135	zlib	image_sources/generated/200x200	0	7.422
23	135	heatshrink	image_sources/generated/200x200	0	9.766
24	135	g5	image_sources/generated/200x200	0	0.854
25	135	zlib	image_sources/generated/2560x1440	0	1450.356
26	135	heatshrink	image_sources/generated/2560x1440	0	1673.024
27	135	g5	image_sources/generated/2560x1440	0	0.165
28	135	zlib	image_sources/generated/296x128	0	9.084
29	135	heatshrink	image_sources/generated/296x128	0	11.987
30	135	g5	image_sources/generated/296x128	0	0.837
31	135	zlib	image_sources/generated/400x300	0	30.297
32	135	heatshrink	image_sources/generated/400x300	0	39.499
33	135	g5	image_sources/generated/400x300	0	0.799
34	135	zlib	image_sources/generated/600x448	0	73.420
35	135	heatshrink	image_sources/generated/600x448	0	90.477
36	135	g5	image_sources/generated/600x448	0	0.948
37	135	zlib	image_sources/generated/648x480	0	85.582
38	135	heatshrink	image_sources/generated/648x480	0	106.092
39	135	g5	image_sources/generated/648x480	0	1.015
40	135	zlib	image_sources/generated/800x480	0	129.806
41	135	heatshrink	image_sources/generated/800x480	0	161.286
42	135	g5	image_sources/generated/800x480	0	0.868
43	135	zlib	image_sources/generated/960x640	0	190.594
44	135	heatshrink	image_sources/generated/960x640	0	231.789
45	135	g5	image_sources/generated/960x640	0	1.124
46	135	zlib	image_sources/photos/1024x576	0	85.374
47	135	heatshrink	image_sources/photos/1024x576	0	109.356
48	135	g5	image_sources/photos/1024x576	0	0.041
49	135	zlib	image_sources/photos/122x250	0	2.432
50	135	heatshrink	image_sources/photos/122x250	0	5.648
51	135	g5	image_sources/photos/122x250	0	1.120
52	135	zlib	image_sources/photos/128x296	0	3.335
53	135	heatshrink	image_sources/photos/128x296	0	6.946
54	135	g5	image_sources/photos/128x296	0	1.380
55	135	zlib	image_sources/photos/1360x480	0	92.074
56	135	heatshrink	image_sources/photos/1360x480	0	118.884
57	135	g5	image_sources/photos/1360x480	0	0.042
58	135	zlib	image_sources/photos/152x296	0	4.057
59	135	heatshrink	image_sources/photos/152x296	0	8.467
60	135	g5	image_sources/photos/152x296	0	1.371
61	135	zlib	image_sources/photos/1600x1200	0	292.681
62	135	heatshrink	image_sources/photos/1600x1200	0	375.549
63	135	g5	image_sources/photos/1600x1200	0	0.066
64	135	zlib	image_sources/photos/1872x1404	0	404.101
65	135	heatshrink	image_sources/photos/1872x1404	0	508.333
66	135	g5	image_sources/photos/1872x1404	0	0.066
67	135	zlib	image_sources/photos/200x200	0	3.374
68	135	heatshrink	image_sources/photos/200x200	0	7.661
69	135	g5	image_sources/photos/200x200	0	0.983
70	135	zlib	image_sources/photos/2560x1440	0	543.470
71	135	heatshrink	image_sources/photos/2560x1440	0	654.991
72	135	g5	image_sources/photos/2560x1440	0	0.081
73	135	zlib	image_sources/photos/296x128	0	2.956
74	135	heatshrink	image_sources/photos/296x128	0	6.837
75	135	g5	image_sources/photos/296x128	0	0.857
76	135	zlib	image_sources/photos/400x300	0	14.833
77	135	heatshrink	image_sources/photos/400x300	0	24.739
78	135	g5	image_sources/photos/400x300	0	1.202
79	135	zlib	image_sources/photos/600x448	0	37.596
80	135	heatshrink	image_sources/photos/600x448	0	54.076
81	135	g5	image_sources/photos/600x448	0	0.771
82	135	zlib	image_sources/photos/648x480	0	44.607
83	135	heatshrink	image_sources/photos/648x480	0	61.819
84	135	g5	image_sources/photos/648x480	0	0.920
85	135	zlib	image_sources/photos/800x480	0	54.528
86	135	heatshrink	image_sources/photos/800x480	0	73.384
87	135	g5	image_sources/photos/800x480	0	0.525
88	135	zlib	image_sources/photos/960x640	0	90.306
89	135	heatshrink	image_sources/photos/960x640	0	117.823
90	135	g5	image_sources/photos/960x640	0	0.055
91	135	zlib	image_sources/stress/1024x576	0	32.667
92	135	heatshrink	image_sources/stress/1024x576	0	59.192
93	135	g5	image_sources/stress/1024x576	0	0.084
94	135	zlib	image_sources/stress/122x250	0	1.483
95	135	heatshrink	image_sources/stress/122x250	0	3.409
96	135	g5	image_sources/stress/122x250	0	1.864
97	135	zlib	image_sources/stress/128x296	0	1.781
98	135	heatshrink	image_sources/stress/128x296	0	3.994
99	135	g5	image_sources/stress/128x296	0	2.208
100	135	zlib	image_sources/stress/1360x480	0	35.188
101	135	heatshrink	image_sources/stress/1360x480	0	63.960
102	135	g5	image_sources/stress/1360x480	0	0.070
103	135	zlib	image_sources/stress/152x296	0	2.099
104	135	heatshrink	image_sources/stress/152x296	0	4.706
105	135	g5	image_sources/stress/152x296	0	2.519
106	135	zlib	image_sources/stress/1600x1200	0	108.486
107	135	heatshrink	image_sources/stress/1600x1200	0	194.506
108	135	g5	image_sources/stress/1600x1200	0	0.101
109	135	zlib	image_sources/stress/1872x1404	0	147.844
110	135	heatshrink	image_sources/stress/1872x1404	0	265.495
111	135	g5	image_sources/stress/1872x1404	0	0.129
112	135	zlib	image_sources/stress/200x200	0	1.886
113	135	heatshrink	image_sources/stress/200x200	0	4.098
114	135	g5	image_sources/stress/200x200	0	1.786
115	135	zlib	image_sources/stress/2560x1440	0	205.191
116	135	heatshrink	image_sources/stress/2560x1440	0	360.896
117	135	g5	image_sources/stress/2560x1440	0	0.128
118	135	zlib	image_sources/stress/296x128	0	1.680
119	135	heatshrink	image_sources/stress/296x128	0	3.727
120	135	g5	image_sources/stress/296x128	0	1.052
121	135	zlib	image_sources/stress/400x300	0	5.827
122	135	heatshrink	image_sources/stress/400x300	0	11.846
123	135	g5	image_sources/stress/400x300	0	2.613
124	135	zlib	image_sources/stress/600x448	0	14.427
125	135	heatshrink	image_sources/stress/600x448	0	27.009
126	135	g5	image_sources/stress/600x448	0	0.190
127	135	zlib	image_sources/stress/648x480	0	16.612
128	135	heatshrink	image_sources/stress/648x480	0	31.199
129	135	g5	image_sources/stress/648x480	0	0.222
130	135	zlib	image_sources/stress/800x480	0	20.379
131	135	heatshrink	image_sources/stress/800x480	0	38.223
132	135	g5	image_sources/stress/800x480	0	0.071
133	135	zlib	image_sources/stress/960x640	0	33.163
134	135	heatshrink	image_sources/stress/960x640	0	61.451
135	135	g5	image_sources/stress/960x640	0	0.070
