
===== [1/135] zlib image_sources/generated/1024x576 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zlib current dashboard-mixed-density.gray16.1024x576.bs-od 1024x576 294912 40752 13.82% 6.591
zlib l9-ws9 dashboard-mixed-density.gray16.1024x576.bs-od 1024x576 294912 47145 15.99% 10.304
zlib l9-ws12 dashboard-mixed-density.gray16.1024x576.bs-od 1024x576 294912 39997 13.56% 17.233
zlib l9-ws15 dashboard-mixed-density.gray16.1024x576.bs-od 1024x576 294912 38622 13.10% 39.986
zlib current dashboard-mixed-density.gray4.1024x576.bs-od 1024x576 147456 24110 16.35% 2.959
zlib l9-ws9 dashboard-mixed-density.gray4.1024x576.bs-od 1024x576 147456 27371 18.56% 5.975
zlib l9-ws12 dashboard-mixed-density.gray4.1024x576.bs-od 1024x576 147456 23331 15.82% 16.247
zlib l9-ws15 dashboard-mixed-density.gray4.1024x576.bs-od 1024x576 147456 23020 15.61% 24.658
zlib current dashboard-mixed-density.mono.1024x576.bs-od 1024x576 73728 13399 18.17% 1.739
zlib l9-ws9 dashboard-mixed-density.mono.1024x576.bs-od 1024x576 73728 14751 20.01% 3.571
zlib l9-ws12 dashboard-mixed-density.mono.1024x576.bs-od 1024x576 73728 12638 17.14% 12.155
zlib l9-ws15 dashboard-mixed-density.mono.1024x576.bs-od 1024x576 73728 12677 17.19% 16.172
zlib current floorplan-thin-lines.gray16.1024x576.bs-od 1024x576 294912 11015 3.74% 1.519
zlib l9-ws9 floorplan-thin-lines.gray16.1024x576.bs-od 1024x576 294912 13261 4.50% 9.141
zlib l9-ws12 floorplan-thin-lines.gray16.1024x576.bs-od 1024x576 294912 10831 3.67% 10.954
zlib l9-ws15 floorplan-thin-lines.gray16.1024x576.bs-od 1024x576 294912 9985 3.39% 9.200
zlib current floorplan-thin-lines.gray4.1024x576.bs-od 1024x576 147456 8301 5.63% 1.036
zlib l9-ws9 floorplan-thin-lines.gray4.1024x576.bs-od 1024x576 147456 8875 6.02% 5.029
zlib l9-ws12 floorplan-thin-lines.gray4.1024x576.bs-od 1024x576 147456 7388 5.01% 9.474
zlib l9-ws15 floorplan-thin-lines.gray4.1024x576.bs-od 1024x576 147456 7300 4.95% 9.369
zlib current floorplan-thin-lines.mono.1024x576.bs-od 1024x576 73728 4154 5.63% 0.497
zlib l9-ws9 floorplan-thin-lines.mono.1024x576.bs-od 1024x576 73728 3755 5.09% 2.289
zlib l9-ws12 floorplan-thin-lines.mono.1024x576.bs-od 1024x576 73728 3652 4.95% 5.819
zlib l9-ws15 floorplan-thin-lines.mono.1024x576.bs-od 1024x576 73728 3766 5.11% 6.825
zlib current menu-board-text-heavy.gray16.1024x576.bs-od 1024x576 294912 84835 28.77% 14.266
zlib l9-ws9 menu-board-text-heavy.gray16.1024x576.bs-od 1024x576 294912 87230 29.58% 10.976
zlib l9-ws12 menu-board-text-heavy.gray16.1024x576.bs-od 1024x576 294912 83576 28.34% 22.210
zlib l9-ws15 menu-board-text-heavy.gray16.1024x576.bs-od 1024x576 294912 81976 27.80% 131.261
zlib current menu-board-text-heavy.gray4.1024x576.bs-od 1024x576 147456 45850 31.09% 7.673
zlib l9-ws9 menu-board-text-heavy.gray4.1024x576.bs-od 1024x576 147456 47408 32.15% 6.213
zlib l9-ws12 menu-board-text-heavy.gray4.1024x576.bs-od 1024x576 147456 45808 31.07% 17.925
zlib l9-ws15 menu-board-text-heavy.gray4.1024x576.bs-od 1024x576 147456 44465 30.15% 60.843
zlib current menu-board-text-heavy.mono.1024x576.bs-od 1024x576 73728 19826 26.89% 2.635
zlib l9-ws9 menu-board-text-heavy.mono.1024x576.bs-od 1024x576 73728 20216 27.42% 3.856
zlib l9-ws12 menu-board-text-heavy.mono.1024x576.bs-od 1024x576 73728 19761 26.80% 18.332
zlib l9-ws15 menu-board-text-heavy.mono.1024x576.bs-od 1024x576 73728 18850 25.57% 30.010
zlib current price-label-barcode-layout.gray16.1024x576.bs-od 1024x576 294912 16670 5.65% 2.307
zlib l9-ws9 price-label-barcode-layout.gray16.1024x576.bs-od 1024x576 294912 22207 7.53% 8.382
zlib l9-ws12 price-label-barcode-layout.gray16.1024x576.bs-od 1024x576 294912 16601 5.63% 8.880
zlib l9-ws15 price-label-barcode-layout.gray16.1024x576.bs-od 1024x576 294912 15987 5.42% 13.897
zlib current price-label-barcode-layout.gray4.1024x576.bs-od 1024x576 147456 13130 8.90% 1.049
zlib l9-ws9 price-label-barcode-layout.gray4.1024x576.bs-od 1024x576 147456 15698 10.65% 4.070
zlib l9-ws12 price-label-barcode-layout.gray4.1024x576.bs-od 1024x576 147456 12890 8.74% 4.592
zlib l9-ws15 price-label-barcode-layout.gray4.1024x576.bs-od 1024x576 147456 12696 8.61% 4.684
zlib current price-label-barcode-layout.mono.1024x576.bs-od 1024x576 73728 5675 7.70% 0.519
zlib l9-ws9 price-label-barcode-layout.mono.1024x576.bs-od 1024x576 73728 7777 10.55% 2.021
