run_id	index	total	runs	algorithm	folder	returncode	elapsed_s
20260508-142929	8	225	10	g5	image_sources/generated/122x250	0	0.334
20260508-142929	3	225	10	g5	image_sources/generated/1024x576	0	0.365
20260508-142929	9	225	10	brotli	image_sources/generated/122x250	0	0.370
20260508-142929	13	225	10	g5	image_sources/generated/128x296	0	0.339
20260508-142929	7	225	10	heatshrink	image_sources/generated/122x250	0	0.709
20260508-142929	14	225	10	brotli	image_sources/generated/128x296	0	0.401
20260508-142929	10	225	10	zstd	image_sources/generated/122x250	0	0.815
20260508-142929	12	225	10	heatshrink	image_sources/generated/128x296	0	0.844
20260508-142929	18	225	10	g5	image_sources/generated/1360x480	0	0.338
20260508-142929	15	225	10	zstd	image_sources/generated/128x296	0	0.820
20260508-142929	6	225	10	zlib	image_sources/generated/122x250	0	1.451
20260508-142929	11	225	10	zlib	image_sources/generated/128x296	0	1.652
20260508-142929	23	225	10	g5	image_sources/generated/152x296	0	0.299
20260508-142929	24	225	10	brotli	image_sources/generated/152x296	0	0.384
20260508-142929	22	225	10	heatshrink	image_sources/generated/152x296	0	0.909
20260508-142929	25	225	10	zstd	image_sources/generated/152x296	0	0.978
20260508-142929	21	225	10	zlib	image_sources/generated/152x296	0	1.718
20260508-142929	28	225	10	g5	image_sources/generated/1600x1200	0	0.182
20260508-142929	19	225	10	brotli	image_sources/generated/1360x480	0	4.486
20260508-142929	4	225	10	brotli	image_sources/generated/1024x576	0	6.709
20260508-142929	29	225	10	brotli	image_sources/generated/1600x1200	0	14.676
20260508-142929	33	225	10	g5	image_sources/generated/1872x1404	0	0.194
20260508-142929	17	225	10	heatshrink	image_sources/generated/1360x480	0	18.194
20260508-142929	5	225	10	zstd	image_sources/generated/1024x576	0	24.546
20260508-142929	16	225	10	zlib	image_sources/generated/1360x480	0	24.886
20260508-142929	36	225	10	zlib	image_sources/generated/200x200	0	2.138
20260508-142929	37	225	10	heatshrink	image_sources/generated/200x200	0	1.340
20260508-142929	38	225	10	g5	image_sources/generated/200x200	0	0.319
20260508-142929	39	225	10	brotli	image_sources/generated/200x200	0	0.485
20260508-142929	2	225	10	heatshrink	image_sources/generated/1024x576	0	27.444
20260508-142929	20	225	10	zstd	image_sources/generated/1360x480	0	27.136
20260508-142929	43	225	10	g5	image_sources/generated/2560x1440	0	0.216
20260508-142929	40	225	10	zstd	image_sources/generated/200x200	0	1.596
20260508-142929	1	225	10	zlib	image_sources/generated/1024x576	0	32.133
