
===== [20260508-142929 8/225] g5 image_sources/generated/122x250 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
g5 perplane-f128 dashboard-mixed-density.gray16.122x250.bs-1bppstreams 122x250 16000 2276 14.22% 0.141
g5 perplane-f256 dashboard-mixed-density.gray16.122x250.bs-1bppstreams 122x250 16000 2276 14.22% 0.227
g5 virtual-f64 dashboard-mixed-density.gray4.122x250.bs-1bppstreams 122x250 8000 974 12.17% 0.150
g5 perplane-f128 dashboard-mixed-density.gray4.122x250.bs-1bppstreams 122x250 8000 983 12.29% 0.138
g5 perplane-f256 dashboard-mixed-density.gray4.122x250.bs-1bppstreams 122x250 8000 983 12.29% 0.142
g5 virtual-f64 dashboard-mixed-density.mono.122x250.bs-1bppstreams 122x250 4000 376 9.40% 0.062
g5 perplane-f128 dashboard-mixed-density.mono.122x250.bs-1bppstreams 122x250 4000 380 9.50% 0.048
g5 perplane-f256 dashboard-mixed-density.mono.122x250.bs-1bppstreams 122x250 4000 380 9.50% 0.054
g5 virtual-f64 floorplan-thin-lines.gray16.122x250.bs-1bppstreams 122x250 16000 575 3.59% 0.178
g5 perplane-f128 floorplan-thin-lines.gray16.122x250.bs-1bppstreams 122x250 16000 596 3.72% 0.150
g5 perplane-f256 floorplan-thin-lines.gray16.122x250.bs-1bppstreams 122x250 16000 596 3.72% 0.197
g5 virtual-f64 floorplan-thin-lines.gray4.122x250.bs-1bppstreams 122x250 8000 298 3.72% 0.072
g5 perplane-f128 floorplan-thin-lines.gray4.122x250.bs-1bppstreams 122x250 8000 307 3.84% 0.090
g5 perplane-f256 floorplan-thin-lines.gray4.122x250.bs-1bppstreams 122x250 8000 307 3.84% 0.083
g5 virtual-f64 floorplan-thin-lines.mono.122x250.bs-1bppstreams 122x250 4000 138 3.45% 0.056
g5 perplane-f128 floorplan-thin-lines.mono.122x250.bs-1bppstreams 122x250 4000 142 3.55% 0.041
g5 perplane-f256 floorplan-thin-lines.mono.122x250.bs-1bppstreams 122x250 4000 142 3.55% 0.050
g5 perplane-f128 menu-board-text-heavy.gray16.122x250.bs-1bppstreams 122x250 16000 3727 23.29% 0.256
g5 perplane-f256 menu-board-text-heavy.gray16.122x250.bs-1bppstreams 122x250 16000 3727 23.29% 0.264
g5 perplane-f128 menu-board-text-heavy.gray4.122x250.bs-1bppstreams 122x250 8000 1826 22.82% 0.115
g5 perplane-f256 menu-board-text-heavy.gray4.122x250.bs-1bppstreams 122x250 8000 1826 22.82% 0.155
g5 virtual-f64 menu-board-text-heavy.mono.122x250.bs-1bppstreams 122x250 4000 642 16.05% 0.049
g5 perplane-f128 menu-board-text-heavy.mono.122x250.bs-1bppstreams 122x250 4000 646 16.15% 0.043
g5 perplane-f256 menu-board-text-heavy.mono.122x250.bs-1bppstreams 122x250 4000 646 16.15% 0.058
g5 perplane-f128 price-label-barcode-layout.gray16.122x250.bs-1bppstreams 122x250 16000 1532 9.57% 0.189
g5 perplane-f256 price-label-barcode-layout.gray16.122x250.bs-1bppstreams 122x250 16000 1532 9.57% 0.196
g5 perplane-f128 price-label-barcode-layout.gray4.122x250.bs-1bppstreams 122x250 8000 950 11.88% 0.096
g5 perplane-f256 price-label-barcode-layout.gray4.122x250.bs-1bppstreams 122x250 8000 950 11.88% 0.089
g5 virtual-f64 price-label-barcode-layout.mono.122x250.bs-1bppstreams 122x250 4000 348 8.70% 0.040
g5 perplane-f128 price-label-barcode-layout.mono.122x250.bs-1bppstreams 122x250 4000 352 8.80% 0.049
g5 perplane-f256 price-label-barcode-layout.mono.122x250.bs-1bppstreams 122x250 4000 352 8.80% 0.049
g5 virtual-f64 price-tag-electronics-promo.gray16.122x250.bs-1bppstreams 122x250 16000 1136 7.10% 0.212
g5 perplane-f128 price-tag-electronics-promo.gray16.122x250.bs-1bppstreams 122x250 16000 1156 7.22% 0.173
g5 perplane-f256 price-tag-electronics-promo.gray16.122x250.bs-1bppstreams 122x250 16000 1156 7.22% 0.284
g5 virtual-f64 price-tag-electronics-promo.gray4.122x250.bs-1bppstreams 122x250 8000 710 8.88% 0.118
