run_id	index	total	runs	algorithm	folder	returncode	elapsed_s
20260508-135727	1	45	3	zlib	image_sources/generated/1024x576	0	2.602
20260508-135727	2	45	3	zlib	image_sources/generated/122x250	0	0.333
20260508-135727	3	45	3	zlib	image_sources/generated/128x296	0	0.388
20260508-135727	4	45	3	zlib	image_sources/generated/1360x480	0	2.494
20260508-135727	5	45	3	zlib	image_sources/generated/152x296	0	0.476
20260508-135727	6	45	3	zlib	image_sources/generated/1600x1200	0	7.142
20260508-135727	7	45	3	zlib	image_sources/generated/1872x1404	0	8.975
20260508-135727	8	45	3	zlib	image_sources/generated/200x200	0	0.448
20260508-135727	9	45	3	zlib	image_sources/generated/2560x1440	0	14.284
20260508-135727	10	45	3	zlib	image_sources/generated/296x128	0	0.410
20260508-135727	11	45	3	zlib	image_sources/generated/400x300	0	0.687
20260508-135727	12	45	3	zlib	image_sources/generated/600x448	0	1.272
20260508-135727	13	45	3	zlib	image_sources/generated/648x480	0	1.464
20260508-135727	14	45	3	zlib	image_sources/generated/800x480	0	1.822
20260508-135727	15	45	3	zlib	image_sources/generated/960x640	0	2.531
20260508-135727	16	45	3	zlib	image_sources/photos/1024x576	0	1.273
20260508-135727	17	45	3	zlib	image_sources/photos/122x250	0	0.185
20260508-135727	18	45	3	zlib	image_sources/photos/128x296	0	0.165
20260508-135727	19	45	3	zlib	image_sources/photos/1360x480	0	1.341
20260508-135727	20	45	3	zlib	image_sources/photos/152x296	0	0.203
20260508-135727	21	45	3	zlib	image_sources/photos/1600x1200	0	3.552
20260508-135727	22	45	3	zlib	image_sources/photos/1872x1404	0	4.934
20260508-135727	23	45	3	zlib	image_sources/photos/200x200	0	0.200
20260508-135727	24	45	3	zlib	image_sources/photos/2560x1440	0	6.710
20260508-135727	25	45	3	zlib	image_sources/photos/296x128	0	0.212
20260508-135727	26	45	3	zlib	image_sources/photos/400x300	0	0.355
20260508-135727	27	45	3	zlib	image_sources/photos/600x448	0	0.677
20260508-135727	28	45	3	zlib	image_sources/photos/648x480	0	0.760
20260508-135727	29	45	3	zlib	image_sources/photos/800x480	0	0.829
20260508-135727	30	45	3	zlib	image_sources/photos/960x640	0	1.334
20260508-135727	31	45	3	zlib	image_sources/stress/1024x576	0	1.540
20260508-135727	32	45	3	zlib	image_sources/stress/122x250	0	0.313
20260508-135727	33	45	3	zlib	image_sources/stress/128x296	0	0.283
20260508-135727	34	45	3	zlib	image_sources/stress/1360x480	0	1.678
20260508-135727	35	45	3	zlib	image_sources/stress/152x296	0	0.321
20260508-135727	36	45	3	zlib	image_sources/stress/1600x1200	0	4.432
20260508-135727	37	45	3	zlib	image_sources/stress/1872x1404	0	5.879
20260508-135727	38	45	3	zlib	image_sources/stress/200x200	0	0.284
20260508-135727	39	45	3	zlib	image_sources/stress/2560x1440	0	7.771
20260508-135727	40	45	3	zlib	image_sources/stress/296x128	0	0.267
20260508-135727	41	45	3	zlib	image_sources/stress/400x300	0	0.452
20260508-135727	42	45	3	zlib	image_sources/stress/600x448	0	0.804
20260508-135727	43	45	3	zlib	image_sources/stress/648x480	0	0.895
20260508-135727	44	45	3	zlib	image_sources/stress/800x480	0	1.048
20260508-135727	45	45	3	zlib	image_sources/stress/960x640	0	1.458
