
===== [20260508-135727 1/45] zlib image_sources/generated/1024x576 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zlib l1-ws9 dashboard-mixed-density.gray16.1024x576.bs-od 1024x576 294912 52651 17.85% 7.661
zlib l6-ws9 dashboard-mixed-density.gray16.1024x576.bs-od 1024x576 294912 48013 16.28% 12.754
zlib l1-ws10 dashboard-mixed-density.gray16.1024x576.bs-od 1024x576 294912 51287 17.39% 4.647
zlib l6-ws10 dashboard-mixed-density.gray16.1024x576.bs-od 1024x576 294912 45382 15.39% 7.219
zlib l9-ws10 dashboard-mixed-density.gray16.1024x576.bs-od 1024x576 294912 44104 14.95% 10.363
zlib l1-ws9 dashboard-mixed-density.gray4.1024x576.bs-od 1024x576 147456 30796 20.88% 5.490
zlib l6-ws9 dashboard-mixed-density.gray4.1024x576.bs-od 1024x576 147456 27813 18.86% 5.922
zlib l1-ws10 dashboard-mixed-density.gray4.1024x576.bs-od 1024x576 147456 29651 20.11% 2.776
zlib l6-ws10 dashboard-mixed-density.gray4.1024x576.bs-od 1024x576 147456 25738 17.45% 3.952
zlib l9-ws10 dashboard-mixed-density.gray4.1024x576.bs-od 1024x576 147456 24660 16.72% 8.017
zlib l1-ws9 dashboard-mixed-density.mono.1024x576.bs-od 1024x576 73728 16833 22.83% 2.086
zlib l6-ws9 dashboard-mixed-density.mono.1024x576.bs-od 1024x576 73728 14997 20.34% 3.016
zlib l1-ws10 dashboard-mixed-density.mono.1024x576.bs-od 1024x576 73728 16162 21.92% 1.121
zlib l6-ws10 dashboard-mixed-density.mono.1024x576.bs-od 1024x576 73728 14180 19.23% 2.185
zlib l9-ws10 dashboard-mixed-density.mono.1024x576.bs-od 1024x576 73728 13564 18.40% 5.102
zlib l1-ws9 floorplan-thin-lines.gray16.1024x576.bs-od 1024x576 294912 17835 6.05% 6.588
zlib l6-ws9 floorplan-thin-lines.gray16.1024x576.bs-od 1024x576 294912 14375 4.87% 7.475
zlib l1-ws10 floorplan-thin-lines.gray16.1024x576.bs-od 1024x576 294912 17509 5.94% 3.970
zlib l6-ws10 floorplan-thin-lines.gray16.1024x576.bs-od 1024x576 294912 13133 4.45% 4.607
zlib l9-ws10 floorplan-thin-lines.gray16.1024x576.bs-od 1024x576 294912 11146 3.78% 7.790
zlib l1-ws9 floorplan-thin-lines.gray4.1024x576.bs-od 1024x576 147456 12229 8.29% 4.156
zlib l6-ws9 floorplan-thin-lines.gray4.1024x576.bs-od 1024x576 147456 9396 6.37% 4.209
zlib l1-ws10 floorplan-thin-lines.gray4.1024x576.bs-od 1024x576 147456 11913 8.08% 2.435
zlib l6-ws10 floorplan-thin-lines.gray4.1024x576.bs-od 1024x576 147456 8893 6.03% 4.073
zlib l9-ws10 floorplan-thin-lines.gray4.1024x576.bs-od 1024x576 147456 7536 5.11% 5.792
zlib l1-ws9 floorplan-thin-lines.mono.1024x576.bs-od 1024x576 73728 6298 8.54% 1.911
zlib l6-ws9 floorplan-thin-lines.mono.1024x576.bs-od 1024x576 73728 3903 5.29% 1.975
zlib l1-ws10 floorplan-thin-lines.mono.1024x576.bs-od 1024x576 73728 6037 8.19% 0.907
zlib l6-ws10 floorplan-thin-lines.mono.1024x576.bs-od 1024x576 73728 3981 5.40% 1.354
zlib l9-ws10 floorplan-thin-lines.mono.1024x576.bs-od 1024x576 73728 3692 5.01% 2.563
zlib l1-ws9 menu-board-text-heavy.gray16.1024x576.bs-od 1024x576 294912 96276 32.65% 8.269
zlib l6-ws9 menu-board-text-heavy.gray16.1024x576.bs-od 1024x576 294912 87312 29.61% 11.290
zlib l1-ws10 menu-board-text-heavy.gray16.1024x576.bs-od 1024x576 294912 97144 32.94% 5.071
zlib l6-ws10 menu-board-text-heavy.gray16.1024x576.bs-od 1024x576 294912 85406 28.96% 10.738
zlib l9-ws10 menu-board-text-heavy.gray16.1024x576.bs-od 1024x576 294912 85315 28.93% 12.356
zlib l1-ws9 menu-board-text-heavy.gray4.1024x576.bs-od 1024x576 147456 51138 34.68% 4.327
zlib l6-ws9 menu-board-text-heavy.gray4.1024x576.bs-od 1024x576 147456 47511 32.22% 5.979
zlib l1-ws10 menu-board-text-heavy.gray4.1024x576.bs-od 1024x576 147456 51508 34.93% 2.570
zlib l6-ws10 menu-board-text-heavy.gray4.1024x576.bs-od 1024x576 147456 46748 31.70% 5.502
zlib l9-ws10 menu-board-text-heavy.gray4.1024x576.bs-od 1024x576 147456 46407 31.47% 8.635
zlib l1-ws9 menu-board-text-heavy.mono.1024x576.bs-od 1024x576 73728 22916 31.08% 2.413
zlib l6-ws9 menu-board-text-heavy.mono.1024x576.bs-od 1024x576 73728 20461 27.75% 4.330
zlib l1-ws10 menu-board-text-heavy.mono.1024x576.bs-od 1024x576 73728 23088 31.32% 1.904
zlib l6-ws10 menu-board-text-heavy.mono.1024x576.bs-od 1024x576 73728 20480 27.78% 3.591
zlib l9-ws10 menu-board-text-heavy.mono.1024x576.bs-od 1024x576 73728 19918 27.02% 7.366
zlib l1-ws9 price-label-barcode-layout.gray16.1024x576.bs-od 1024x576 294912 24760 8.40% 8.832
zlib l6-ws9 price-label-barcode-layout.gray16.1024x576.bs-od 1024x576 294912 22688 7.69% 8.411
zlib l1-ws10 price-label-barcode-layout.gray16.1024x576.bs-od 1024x576 294912 24212 8.21% 4.881
zlib l6-ws10 price-label-barcode-layout.gray16.1024x576.bs-od 1024x576 294912 21062 7.14% 6.203
zlib l9-ws10 price-label-barcode-layout.gray16.1024x576.bs-od 1024x576 294912 20365 6.91% 9.146
zlib l1-ws9 price-label-barcode-layout.gray4.1024x576.bs-od 1024x576 147456 16639 11.28% 5.173
zlib l6-ws9 price-label-barcode-layout.gray4.1024x576.bs-od 1024x576 147456 16196 10.98% 5.975
zlib l1-ws10 price-label-barcode-layout.gray4.1024x576.bs-od 1024x576 147456 15822 10.73% 2.642
zlib l6-ws10 price-label-barcode-layout.gray4.1024x576.bs-od 1024x576 147456 15253 10.34% 2.338
zlib l9-ws10 price-label-barcode-layout.gray4.1024x576.bs-od 1024x576 147456 14522 9.85% 3.804
zlib l1-ws9 price-label-barcode-layout.mono.1024x576.bs-od 1024x576 73728 8681 11.77% 3.266
zlib l6-ws9 price-label-barcode-layout.mono.1024x576.bs-od 1024x576 73728 7837 10.63% 2.563
zlib l1-ws10 price-label-barcode-layout.mono.1024x576.bs-od 1024x576 73728 7627 10.34% 0.996
zlib l6-ws10 price-label-barcode-layout.mono.1024x576.bs-od 1024x576 73728 6624 8.98% 1.947
zlib l9-ws10 price-label-barcode-layout.mono.1024x576.bs-od 1024x576 73728 6508 8.83% 1.876
zlib l1-ws9 price-tag-electronics-promo.gray16.1024x576.bs-od 1024x576 294912 24162 8.19% 9.164
zlib l6-ws9 price-tag-electronics-promo.gray16.1024x576.bs-od 1024x576 294912 22612 7.67% 8.038
zlib l1-ws10 price-tag-electronics-promo.gray16.1024x576.bs-od 1024x576 294912 23087 7.83% 4.786
zlib l6-ws10 price-tag-electronics-promo.gray16.1024x576.bs-od 1024x576 294912 20251 6.87% 7.213
zlib l9-ws10 price-tag-electronics-promo.gray16.1024x576.bs-od 1024x576 294912 19066 6.46% 6.727
zlib l1-ws9 price-tag-electronics-promo.gray4.1024x576.bs-od 1024x576 147456 16846 11.42% 3.529
zlib l6-ws9 price-tag-electronics-promo.gray4.1024x576.bs-od 1024x576 147456 16183 10.97% 4.167
zlib l1-ws10 price-tag-electronics-promo.gray4.1024x576.bs-od 1024x576 147456 15225 10.33% 1.780
zlib l6-ws10 price-tag-electronics-promo.gray4.1024x576.bs-od 1024x576 147456 13908 9.43% 2.678
zlib l9-ws10 price-tag-electronics-promo.gray4.1024x576.bs-od 1024x576 147456 13145 8.91% 4.014
zlib l1-ws9 price-tag-electronics-promo.mono.1024x576.bs-od 1024x576 73728 12924 17.53% 3.153
zlib l6-ws9 price-tag-electronics-promo.mono.1024x576.bs-od 1024x576 73728 12177 16.52% 1.944
zlib l1-ws10 price-tag-electronics-promo.mono.1024x576.bs-od 1024x576 73728 12099 16.41% 1.749
zlib l6-ws10 price-tag-electronics-promo.mono.1024x576.bs-od 1024x576 73728 11180 15.16% 1.342
