status,algorithm,variant,input_file,output_file,width,height,input_bytes,compressed_bytes,ratio,avg_ms,runs,error
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray16.1024x576.zlib.l1-ws9.dat,1024,576,294912,52651,0.17853122,7.661069,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray16.1024x576.zlib.l6-ws9.dat,1024,576,294912,48013,0.1628045,12.753754,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray16.1024x576.zlib.l1-ws10.dat,1024,576,294912,51287,0.17390611,4.646796,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray16.1024x576.zlib.l6-ws10.dat,1024,576,294912,45382,0.15388319,7.219298,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray16.1024x576.zlib.l9-ws10.dat,1024,576,294912,44104,0.1495497,10.362754,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray4.1024x576.zlib.l1-ws9.dat,1024,576,147456,30796,0.20884874,5.489755,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray4.1024x576.zlib.l6-ws9.dat,1024,576,147456,27813,0.18861898,5.921641,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray4.1024x576.zlib.l1-ws10.dat,1024,576,147456,29651,0.20108371,2.775538,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray4.1024x576.zlib.l6-ws10.dat,1024,576,147456,25738,0.17454698,3.951658,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.gray4.1024x576.zlib.l9-ws10.dat,1024,576,147456,24660,0.16723633,8.016521,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.mono.1024x576.zlib.l1-ws9.dat,1024,576,73728,16833,0.22831217,2.085711,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.mono.1024x576.zlib.l6-ws9.dat,1024,576,73728,14997,0.20340983,3.015877,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.mono.1024x576.zlib.l1-ws10.dat,1024,576,73728,16162,0.21921115,1.121001,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.mono.1024x576.zlib.l6-ws10.dat,1024,576,73728,14180,0.19232856,2.184754,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/dashboard-mixed-density.mono.1024x576.zlib.l9-ws10.dat,1024,576,73728,13564,0.18397352,5.102472,3,
